year,month,day,lat,lon,sm_50
2019,8,28,34.82,-87.99,nan
2019,8,28,33.53,-103.63,0.16
2019,8,28,33.63,-88.77,0.87
2019,8,28,29.1,-81.63,0.73
2019,8,28,36.57,-115.2,0.15
2019,8,28,45.8,-111.59,0.33
2019,8,28,20.01,-155.6,0.01
2019,8,28,45.47,-88.58,0.58
2019,8,28,37.78,-118.42,0.2
2019,8,28,37.19,-112.19,1
2019,8,28,20.1,-155.51,0.09
2019,8,28,40.79,-122.55,1
2019,8,28,33.65,-115.1,0.41
2019,8,28,34.23,-89.9,0.51
2019,8,28,46.77,-100.92,0.7
2019,8,28,37.87,-112.43,0
2019,8,28,37.13,-97.09,0.65
2019,8,28,34.89,-86.6,0.72
2019,8,28,48.44,-111.18,0.07
2019,8,28,33.97,-90.9,0.22
2019,8,28,34.77,-106.76,0.27
2019,8,28,34.3,-79.73,0.81
2019,8,28,36.33,-116.35,nan
2019,8,28,39.7,-96.16,1
2019,8,28,38.15,-112.25,0.71
2019,8,28,32.67,-81.2,0
2019,8,28,33,-91.06,nan
2019,8,28,33.55,-102.37,0.84
2019,8,28,39.23,-92.12,1
2019,8,28,40.82,-104.71,0.61
2019,8,28,35.06,-86.59,0.72
2019,8,28,39.47,-117.62,0.55
2019,8,28,34.18,-87.46,0.3
2019,8,28,35.28,-90.45,0.54
2019,8,28,36.27,-115.61,0.75
2019,8,28,26.16,-97.96,0.66
2019,8,28,36.54,-120.55,nan
2019,8,28,43.93,-71.72,0.95
2019,8,28,64.69,-148.91,0.84
2019,8,28,34.28,-91.35,0.93
2019,8,28,41.33,-111.3,0.5
2019,8,28,33.54,-103.24,nan
2019,8,28,43.05,-73.03,0.18
2019,8,28,34.02,-99.25,0.13
2019,8,28,47.52,-107.13,0.98
2019,8,28,37.67,-109.36,0.13
2019,8,28,39.65,-111.87,0.26
2019,8,28,37.19,-86.04,nan
2019,8,28,40.03,-118.18,0.56
2019,8,28,41.82,-111.98,0.94
2019,8,28,34.78,-90.82,0.99
2019,8,28,37.1,-87.83,0.78
2019,8,28,38.26,-119.13,0.46
2019,8,28,47.72,-96.27,0.06
2019,8,28,34.25,-92.03,0.33
2019,8,28,37.45,-109.34,1
2019,8,28,35.12,-119.6,1
2019,8,28,40.37,-110.41,0.19
2019,8,28,38.59,-113.75,0.08
2019,8,28,42.88,-77.03,0.74
2019,8,28,38.31,-109.24,0.74
2019,8,28,33.66,-90.57,1
2019,8,28,41.78,-113.82,0.72
2019,8,28,65.2,-156.63,nan
2019,8,28,42.71,-90.39,0.79
2019,8,28,37.78,-109.17,0.47
2019,8,28,19.91,-155.59,0.91
2019,8,28,40.18,-110.3,0.04
2019,8,28,33.11,-88.31,0.85
2019,8,28,32.56,-106.7,0.9
2019,8,28,31.55,-100.51,0.11
2019,8,28,36.37,-115.82,0.43
2019,8,28,32.43,-85.75,0.1
2019,8,28,37.63,-113.64,0.52
2019,8,28,40.62,-120.72,0.27
2019,8,28,39.79,-99.33,0.69
2019,8,28,39.02,-110.16,1
2019,8,28,34.07,-90.35,0.69
2019,8,28,41.8,-81.08,0.77
2019,8,28,30.07,-94.29,0.89
2019,8,28,37.11,-113.36,0.61
2019,8,28,39.24,-113.46,nan
2019,8,28,61.58,-159.58,0.01
2019,8,28,40.25,-93.72,0.94
2019,8,28,32.61,-88.2,0.6
2019,8,28,30.3,-84.42,0.91
2019,8,28,41,-111.69,0.58
2019,8,28,36.78,-89.93,0.95
2019,8,28,40.72,-77.93,0.69
2019,8,28,32.25,-98.2,0.47
2019,8,28,37.63,-118.83,0.89
2019,8,28,33.62,-102.04,0.64
2019,8,28,41.94,-112.43,0.15
2019,8,28,42.02,-93.73,0.82
2019,8,28,47.06,-109.95,0.95
2019,8,28,33.62,-91.1,0.28
2019,8,28,42.07,-104.13,0.9
2019,8,28,43.74,-96.61,0.66
2019,8,28,40.32,-89.9,0.17
2019,8,28,47,-118.57,nan
2019,8,28,37.37,-117.97,0.68
2019,8,28,39.53,-110.81,nan
2019,8,28,48.3,-111.92,0.52
2019,8,28,38.34,-113.01,nan
2019,8,28,31.73,-110.05,0.44
2019,8,28,63.35,-142.98,nan
2019,8,28,34.68,-90.42,0.69
2019,8,28,39.37,-111.58,0.84
2019,8,28,39.19,-112.4,0.54
2019,8,28,39.95,-83.45,0.22
2019,8,28,34.43,-86.68,0.02
2019,8,28,32.41,-85.91,0.4
2019,8,28,34.25,-105.42,0.81
